city,lat,lng,iso2,admin_name,capital,population,population_proper
Delhi,28.61,77.23,IN,Delhi,admin,32226000,16753235
Mumbai,19.0761,72.8775,IN,Mahārāshtra,admin,24973000,12478447
Kolkāta,22.5675,88.37,IN,West Bengal,admin,18502000,4496694
Bangalore,12.9789,77.5917,IN,Karnātaka,admin,15386000,8443675
Chennai,13.0825,80.275,IN,Tamil Nādu,admin,12395000,6727000
Hyderābād,17.3617,78.4747,IN,Telangāna,admin,10494000,6993262
Pune,18.5203,73.8567,IN,Mahārāshtra,,8231000,3124458
Ahmedabad,23.0225,72.5714,IN,Gujarāt,minor,8009000,5570585
Sūrat,21.1702,72.8311,IN,Gujarāt,,6538000,4466826
Lucknow,26.85,80.95,IN,Uttar Pradesh,admin,3382000,3382000
Jaipur,26.9,75.8,IN,Rājasthān,admin,3073350,3073350
Kanpur,26.4499,80.3319,IN,Uttar Pradesh,,2701324,2701324
Mirzāpur,25.146,82.569,IN,Uttar Pradesh,,2496970,2496970
Nāgpur,21.1497,79.0806,IN,Mahārāshtra,,2405665,2405665
Ghāziābād,28.67,77.42,IN,Uttar Pradesh,,2375820,2375820
Supaul,26.126,86.605,IN,Bihār,,2229076,2229076
Vadodara,22.3,73.2,IN,Gujarāt,,2065771,2065771
Rājkot,22.3,70.7833,IN,Gujarāt,,2043000,2043000
Vishākhapatnam,17.7042,83.2978,IN,Andhra Pradesh,,2035922,2035922
Indore,22.7167,75.8472,IN,Madhya Pradesh,,1994397,1994397
Thāne,19.1972,72.9722,IN,Mahārāshtra,,1886941,1886941
Bhopāl,23.2599,77.4126,IN,Madhya Pradesh,admin,1798218,1798218
Pimpri-Chinchwad,18.6186,73.8037,IN,Mahārāshtra,,1727692,1727692
Patna,25.594,85.1376,IN,Bihār,admin,1684222,1684222
Bilāspur,22.09,82.15,IN,Chhattīsgarh,,1625502,1625502
Ludhiāna,30.91,75.85,IN,Punjab,,1618879,1618879
Āgra,27.18,78.02,IN,Uttar Pradesh,,1585704,1585704
Madurai,9.9252,78.1198,IN,Tamil Nādu,minor,1561129,1561129
Jamshedpur,22.7925,86.1842,IN,Jhārkhand,,1558000,1558000
Prayagraj,25.4358,81.8464,IN,Uttar Pradesh,,1536218,1536218
Nāsik,19.9975,73.7898,IN,Mahārāshtra,,1486053,1486053
Farīdābād,28.4211,77.3078,IN,Haryāna,,1414050,1414050
Meerut,28.98,77.71,IN,Uttar Pradesh,,1305429,1305429
Jabalpur,23.1667,79.9333,IN,Madhya Pradesh,,1267564,1267564
Kalyān,19.2502,73.1602,IN,Mahārāshtra,,1246381,1246381
Vasai-Virar,19.3607,72.7956,IN,Mahārāshtra,,1221233,1221233
Najafgarh,28.6092,76.9798,IN,Delhi,,1203180,1203180
Vārānasi,25.3189,83.0128,IN,Uttar Pradesh,,1198491,1198491
Srīnagar,34.09,74.79,IN,Jammu and Kashmīr,admin,1180570,1180570
