city,state,lat,lng,population,chargingstations,state_ev,state_population,population_share,estimated_ev,charger_ev_ratio,gap_score,priority,future_ev_demand,chargers_per_10k_ev,new_stations_needed,recommendation_level
delhi,delhi,28.61,77.23,32226000,82.0,73487.0,32226000,1.0,73487.0,0.001115843618599208,0.9988841563814008,HIGH,129509,6.331606297631825,630.0,Critical Expansion Needed
mumbai,maharashtra,19.0761,72.8775,24973000,71.0,193935.0,40397277,0.6181852306530462,119887.75270669852,0.0005922206263528785,0.9994077793736471,HIGH,211283,3.3604218039312204,1091.0,Critical Expansion Needed
kolkata,west bengal,22.5675,88.37,18502000,20.0,21455.0,18502000,1.0,21455.0,0.0009321836401771149,0.9990678163598229,HIGH,37811,5.289466028404433,188.0,Critical Expansion Needed
bangalore,karnataka,12.9789,77.5917,15386000,48.0,151272.0,15386000,1.0,151272.0,0.00031730921783277807,0.9996826907821672,HIGH,266593,1.8004973874032701,1418.0,Critical Expansion Needed
chennai,tamil nadu,13.0825,80.275,12395000,78.0,90242.0,12395000,1.0,90242.0,0.0008643425455996099,0.9991356574544004,HIGH,159037,4.904519074177707,797.0,Critical Expansion Needed
hyderabad,telangana,17.3617,78.4747,10494000,63.0,74714.0,10494000,1.0,74714.0,0.0008432154616270043,0.999156784538373,HIGH,131672,4.784616319338964,661.0,Critical Expansion Needed
pune,maharashtra,18.5203,73.8567,8231000,53.0,193935.0,40397277,0.20375135680555895,39514.51938208607,0.001341279125465653,0.9986587208745343,HIGH,69638,7.61078721387748,330.0,Critical Expansion Needed
ahmedabad,gujarat,23.0225,72.5714,8009000,37.0,88617.0,14547000,0.5505602529731216,48788.99793771912,0.0007583676968982188,0.9992416323031018,HIGH,85983,4.303176209250666,436.0,Critical Expansion Needed
surat,gujarat,21.1702,72.8311,6538000,8.0,88617.0,14547000,0.4494397470268784,39828.00206228088,0.0002008637035694141,0.9997991362964306,HIGH,70191,1.1397472610448633,378.0,Critical Expansion Needed
lucknow,uttar pradesh,26.85,80.95,3382000,11.0,277300.0,8580294,0.39415898802535204,109300.28737943013,0.00010064017454788646,0.9998993598254521,HIGH,192624,0.5710607193288479,1048.0,Critical Expansion Needed
jaipur,rajasthan,26.9,75.8,3073350,28.0,93818.0,3073350,1.0,93818.0,0.0002984501907949434,0.999701549809205,HIGH,165339,1.693490344080949,881.0,Critical Expansion Needed
kanpur,uttar pradesh,26.4499,80.3319,2701324,1.0,277300.0,8580294,0.31482883919828386,87302.03710968411,1.1454486437053294e-05,0.999988545513563,HIGH,153856,0.06499584026622296,845.0,Critical Expansion Needed
mirzapur,uttar pradesh,25.146,82.569,2496970,0.0,277300.0,8580294,0.2910121727763641,80697.67551088576,0.0,1.0,HIGH,142217,0.0,782.0,Critical Expansion Needed
nagpur,maharashtra,21.1497,79.0806,2405665,9.0,193935.0,40397277,0.05955017710723423,11548.86359729147,0.0007792974541764221,0.9992207025458236,HIGH,20353,4.421952537709429,103.0,Critical Expansion Needed
vishakhapatnam,andhra pradesh,17.7042,83.2978,2035922,0.0,31506.0,2035922,1.0,31506.0,0.0,1.0,HIGH,55524,0.0,305.0,Critical Expansion Needed
thane,maharashtra,19.1972,72.9722,1886941,5.0,193935.0,40397277,0.04670960866991109,9058.627957399207,0.0005519599682770871,0.9994480400317229,HIGH,15964,3.132047105988474,83.0,Critical Expansion Needed
bhopal,madhya pradesh,23.2599,77.4126,1798218,4.0,67051.0,1798218,1.0,67051.0,5.96560826833306e-05,0.9999403439173167,HIGH,118167,0.33850398165308415,646.0,Critical Expansion Needed
patna,bihar,25.594,85.1376,1684222,2.0,88186.0,1684222,1.0,88186.0,2.2679336856190325e-05,0.9999773206631438,HIGH,155414,0.12868853513840453,853.0,Critical Expansion Needed
aurangabad,maharashtra,19.88,75.32,1175116,7.0,193935.0,40397277,0.0290889903297195,5641.373339594152,0.0012408326091220175,0.998759167390878,HIGH,9942,7.0408368537517605,48.0,Critical Expansion Needed
aurangabad,maharashtra,19.88,75.32,1175116,7.0,193935.0,40397277,0.0290889903297195,5641.373339594152,0.0012408326091220175,0.998759167390878,HIGH,9942,7.0408368537517605,48.0,Critical Expansion Needed
raipur,chhattisgarh,21.2444,81.6306,1010087,13.0,37638.0,1010087,1.0,37638.0,0.0003453956108188533,0.9996546043891812,HIGH,66331,1.959867935052992,352.0,Critical Expansion Needed
nanded,maharashtra,19.2,77.3,550439,0.0,193935.0,40397277,0.01362564610481048,2642.4896773364203,0.0,1.0,HIGH,4657,0.0,26.0,Critical Expansion Needed
aurangabad,maharashtra,19.88,75.32,1175116,7.0,193935.0,40397277,0.0290889903297195,5641.373339594152,0.0012408326091220175,0.998759167390878,HIGH,9942,7.0408368537517605,48.0,Critical Expansion Needed
aurangabad,maharashtra,19.88,75.32,1175116,7.0,193935.0,40397277,0.0290889903297195,5641.373339594152,0.0012408326091220175,0.998759167390878,HIGH,9942,7.0408368537517605,48.0,Critical Expansion Needed
